G,U,X,Y
M,2.271,3.783,4.126
M,5.815,6.531,5.334
M,4.374,5.059,5.223
F,2.049,8.416,8.554
M,1.39,5.094,6.127
F,1.532,125.726,77.547
F,3.147,5.813,5.896
M,2.491,3.261,3.588
F,1.121,2.649,4.661
M,3.452,4.087,4.088
F,1.352,2.88,4.855
F,5.5,6.787,5.758
F,1.098,4.116,4.237
M,1.139,2.589,3.836
M,1.258,3.104,4.052
M,2.725,3.541,3.582
M,9.653,12.717,10.771
M,1.24,3.049,3.874
F,1.461,5.462,4.931
M,2.653,3.528,4.239
F,1.059,5.668,5.035
F,15.072,24.415,16.736
M,2.517,3.593,3.599
M,11.015,10.279,8.415
M,1.862,2.937,5.16
F,1.636,7.594,8.942
M,5.742,6.747,5.6
M,3.09,3.895,3.785
M,1.688,3.621,3.952
F,2.403,4.024,3.944
M,1.189,2.341,3.587
F,1.388,3.366,3.688
M,1.361,2.483,2.896
F,1.2,4.793,9.78
M,1.648,2.67,3.462
M,2.057,2.854,3.166
M,1.334,2.543,3.053
F,2.451,4.078,4.236
F,3.71,6.334,5.261
M,2.882,4.005,3.823
F,1.011,2.308,2.798
M,26.623,22.596,15.011
M,2.35,4.289,3.984
M,9.729,8.988,6.831
M,1.948,3.542,3.71
F,2.116,3.157,4.494
F,18.208,239.299,145.661
M,8.094,7.844,6.161
F,1.032,2.511,4.827
M,1.453,3.299,3.881
F,54.906,45.567,28.806
F,1.424,3.366,3.786
F,1.212,3.307,3.473
M,4.271,5.107,5.742
F,1.169,2.822,3.332
F,5.025,8.728,6.792
M,1.451,2.677,3.231
M,2.203,3.21,3.489
F,1.98,3.571,3.781
F,2.13,3.655,3.852
M,8.642,8.139,6.616
M,2.628,3.597,3.976
F,2.295,3.382,3.793
M,1.515,2.942,3.862
M,20.201,17.582,12.38
M,7.406,7.422,5.987
M,20.364,17.548,12.357
M,5.328,5.656,4.905
F,1.052,2.053,3.164
F,4.328,5.307,12.798
F,1.378,7.864,7.508
F,2.262,40.858,25.926
M,1.205,2.168,2.826
M,1.114,2.444,2.9
F,9.927,9.94,7.657
F,10.821,10.139,8.071
F,7.022,7.441,11.227
F,5.612,8.815,7.071
F,1.355,3.038,5.441
F,1.393,3.216,5.79
M,1.121,2.118,2.981
F,54.406,44.827,28.641
F,1.371,2.719,3.432
F,1.067,2.531,3.019
F,1.733,3.124,3.296
M,1.598,3.514,4.017
F,1.054,3.12,5.791
M,1.447,2.9,3.898
M,46.892,41.578,28.116
M,2.165,3.632,4.974
F,7.215,7.787,6.705
M,3.048,4.022,4.103
F,1.994,7.014,5.725
F,1.075,3.831,4.52
M,1.027,4.147,5.086
F,3.275,152.103,96.684
F,2.801,5.252,4.858
M,49.427,40.768,26.678
M,1.067,2.257,2.821
M,1.514,2.532,2.954
M,1.493,2.52,2.967
F,1.239,3.182,4.496
M,1.073,2.611,3.019
F,3.35,8.361,7.066
M,1.448,2.68,4.325
M,13.707,13.926,10.51
F,4.535,8.242,6.477
M,1.16,3.523,3.681
M,2.82,4.411,4.171
F,23.018,20.266,14.844
F,1.293,2.315,4.606
M,2.92,4.323,4.255
F,1.179,32.517,21.143
F,1.164,32.501,21.316
F,5.115,5.47,5.071
F,1.772,7.184,6.146
F,1.858,3.287,6.683
F,1.039,6.893,6.508
M,1.606,2.672,3.336
M,3.201,3.908,6.178
F,1.066,2.369,2.924
M,2.425,3.764,3.827
F,30.155,25.529,17.068
M,3.874,4.392,4.323
F,1.096,2.432,3.111
M,4.161,4.55,11.498
F,4.088,7.119,6.399
F,1.765,21.305,16.004
F,1.264,2.526,2.958
F,1.387,6.177,11.629
M,3.754,4.642,4.21
M,1.598,2.768,3.604
M,2.094,3.456,3.914
M,8.678,8.697,6.636
F,1.603,3.46,4.527
M,2.684,3.417,3.98
M,2.02,4.559,4.58
M,1.124,3.942,5.585
F,1.092,5.221,8.487
F,1.252,9.737,7.641
F,1.152,2.477,3.036
F,1.585,4.73,4.878
M,1.262,2.218,7.362
M,3.703,4.653,4.457
M,1.264,2.562,3.266
F,9.605,20.835,14.012
M,2.038,2.846,5.489
F,1.465,2.524,2.916
F,1.907,3.027,3.57
M,1.376,2.845,5.82
M,1.72,2.629,3.7
F,1.332,2.76,4.752
M,10.556,10.217,7.626
F,1.004,2.479,3.182
M,1.948,3.287,3.549
M,2.283,3.086,3.529
M,2.173,2.953,13.927
M,1.031,2.212,2.744
M,2.522,4.782,4.856
F,1.527,3.2,3.51
M,2.238,3.485,4.539
M,1.226,2.21,2.958
F,1.398,2.36,3.004
F,1.317,3.574,4.012
F,6.929,7.072,8.224
M,1.581,2.764,3.239
F,1.185,5.664,5.186
F,1.461,2.947,3.219
M,2.79,3.586,3.649
F,2.31,3.879,3.902
F,1.013,2.559,3.12
M,3.404,3.989,5.959
F,1.822,2.893,3.168
M,21.791,18.801,14.92
F,13.975,12.941,11.807
F,2.029,3.185,9.846
M,1.366,2.696,3.445
M,2.324,3.307,3.888
M,2.197,3.745,4.612
M,1.439,2.846,5.887
M,8.029,7.731,7.337
F,4.726,5.639,5.861
F,1.156,117.432,72.074
F,31.129,27.878,20.498
F,1.326,3.079,3.329
F,7.397,7.334,5.892
F,1.044,2.552,3.353
M,5.047,5.704,5.49
F,1.002,2.527,3.046
M,1.498,2.498,4.222
F,17.2,15.024,11.596
F,5.255,6.646,6.452
F,1.289,14.017,9.975
M,4.404,4.985,4.434
F,2.71,4.469,4.722
F,1.307,2.629,4.139
M,1.114,2.162,3.74
M,2.516,3.395,4.184
M,1.231,2.249,4.884
F,1.552,2.794,3.184
F,1.442,4.449,4.733
F,2.703,3.431,3.612
F,1.239,4.262,4.268
F,24.031,25.821,17.601
F,13.54,12.352,10.478
M,3.17,4.056,4.011
M,8.783,9.234,7.012
F,4.233,6.081,5.057
F,1.647,3.729,3.911
F,1.126,6.628,5.393
M,2.676,3.39,3.614
F,1.006,4.155,4.729
M,7.205,7.216,5.943
M,5.958,6.55,5.908
M,2.482,3.219,3.595
F,1.422,52.767,33.916
F,130.852,117.357,72.391
M,1.855,3.22,3.404
F,2.074,5.042,4.51
F,3.251,10.363,7.631
F,2.023,3.003,3.464
F,1.749,4.625,4.326
F,2.061,4.714,4.346
M,1.4,3.524,3.846
F,4.907,6.117,6.613
M,4.892,6.911,5.828
F,2.609,3.679,4.688
M,3.549,4.775,4.305
M,6.925,6.825,5.74
M,19.391,16.844,12.356
F,2.657,4.189,11.577
F,2.175,9.896,7.364
M,1.496,4.394,4.703
M,29.743,25.033,17.065
M,7.823,8.149,6.293
F,14.352,13.126,9.945
F,1.181,2.986,3.535
F,4.763,6.5,6.314
M,1.773,2.653,3.137
F,2.133,3.673,4.167
M,1.025,2.041,2.983
M,5.772,5.823,4.974
F,3.238,4.217,4.29
M,8.258,8.829,8.479
F,49.858,42.026,27.692
M,2.228,3.098,5.961
F,15.809,13.902,10.138
M,4.094,4.478,4.11
M,6.307,6.479,5.454
M,1.072,2.384,3.123
F,1.231,2.439,2.887
M,1.534,2.585,3.133
M,11.467,10.617,8.319
F,1.975,6.385,15.754
F,10.21,12.413,8.998
M,2.364,3.991,4.558
M,1.231,2.423,3.231
F,1.182,2.687,7.262
M,5.001,6.711,5.654
M,1.16,2.183,2.759
F,1.975,4.349,4.017
M,1.333,2.287,3.034
M,2.201,3.301,3.467
M,2.592,3.469,3.649
M,1.335,2.904,3.695
M,1.008,2.171,3.316
F,1.181,7.744,6.146
M,2.509,4.437,4.172
F,2.011,26.799,17.587
F,2.727,10.976,8.533
F,1.512,2.623,3.303
F,1.358,6.37,6.304
M,1.122,2.128,2.689
F,33.686,28.705,19.108
M,5.197,5.394,5.349
F,51.317,43.658,27.639
F,3.225,12.612,9.271
F,2.102,4.256,4.989
F,3.404,4.146,3.901
F,1.448,2.567,3.157
M,2.526,3.533,3.718
F,3.484,4.979,5.48
M,4.348,5.009,4.447
M,1.187,2.187,3.339
F,2.164,10.933,8.031
F,1.53,8.472,7.292
F,1.232,8.241,6.459
M,2.947,4.198,3.927
F,1.493,2.755,3.553
F,1.015,2.664,3.236
F,1.92,5.136,4.804
F,1.14,2.372,3.496
F,2.058,7.154,7.661
F,3.766,5.56,6.053
F,2.836,3.719,3.633
F,1.365,2.343,2.853
F,4.18,4.885,5.055
F,1.482,10.866,8.086
M,4.562,5.132,5.328
M,1.015,2.523,3.696
M,1.403,3.401,3.632
F,3.112,4.624,5.049
F,2.212,3.058,4.164
M,1.794,2.961,4.503
F,2918.16,2338.018,1404.283
M,1.594,3.283,4.011
F,1.444,24.955,26.801
M,1.241,2.427,2.931
F,1.818,4.607,4.26
F,6.331,8.668,7.028
M,26.998,22.806,15.108
F,17.288,19.438,13.819
M,1.63,2.84,3.175
M,1.283,3.606,3.74
F,3.24,25.643,17.748
M,14.121,12.539,10.082
F,1.066,4.025,5.542
M,1.428,2.931,3.926
F,1.402,2.984,3.637
F,173.798,142.262,92.595
M,1.387,3.684,4.905
M,8.081,8.791,6.73
F,1.003,4.768,4.801
F,2.06,2.999,3.285
F,1.28,3.042,3.573
M,11.693,10.69,9.15
M,10.935,10.21,12.557
M,1.842,3.445,3.63
M,1.405,2.914,3.237
F,2.49,3.587,3.579
M,1.088,2.728,4.697
F,573.499,460.7,279.078
F,4.331,4.903,4.392
M,18.464,16.196,12.159
F,1.034,3.381,3.686
M,1.627,3.643,3.768
F,5.68,6.354,6.263
M,2.862,4.454,4.265
M,6.401,8.267,6.919
F,2.713,3.385,11.13
F,1.193,4.74,4.289
F,1.314,5.016,4.488
M,2.11,3.018,6.171
F,1.389,2.597,8.361
F,3.462,79.153,49.366
F,1.002,6.428,22.442
F,15.263,13.423,13.329
M,3.651,4.907,4.547
F,1.801,3.647,3.743
M,3.014,3.816,4.553
M,4.179,5.532,5.3
M,1.252,3.442,8.217
M,19.486,16.913,11.576
M,1.383,2.892,3.189
M,1.239,2.609,3.845
M,3.982,4.708,4.531
M,1.981,3.183,5.463
M,16.207,16.404,12.3
F,4.042,4.953,5.036
F,1.057,5.196,4.89
F,6.346,7.019,7.219
F,1.158,2.9,3.892
F,2.201,3.565,4.03
F,1.735,2.699,4.23
M,81.481,66.736,41.527
F,5.629,5.736,5.419
M,4.002,4.756,5.013
M,1.149,2.287,3.116
M,2.009,2.867,3.131
F,10.111,9.595,7.777
M,1.012,2.074,2.678
M,1.298,3.362,3.58
F,17.199,30.358,25.449
M,7.037,6.925,7.116
F,1.477,12.952,10.322
F,1.445,5.691,5.057
F,2.75,3.725,3.974
F,1.732,3.15,4.44
M,27.505,23.478,15.791
F,19.872,20.672,14.069
F,5.71,5.835,4.986
M,2.175,3.941,3.773
M,2.009,3.575,3.556
F,1.963,2.789,3.565
M,1.932,2.817,3.228
M,3.489,4.634,4.663
F,1.843,2.688,3.015
F,1.524,2.474,3.409
F,1.468,2.676,4.021
F,1.654,3.353,4.619
F,5.624,5.993,5.195
M,9.684,9.889,7.537
M,16.369,15.137,10.775
M,2.842,3.687,4.067
M,1.591,3.236,5.035
F,1.499,2.463,3.666
F,1.093,3.415,3.677
M,5.556,9.548,7.268
M,7.808,7.634,6.687
M,2.88,3.896,3.77
F,2.113,17.396,11.944
F,15.664,18.52,12.537
M,4.041,4.469,4.572
F,1.577,5.2,16.031
F,2.697,59.56,38.148
M,1.441,2.856,7.93
M,1.064,2.473,3.34
F,13.614,12.624,9.433
F,8.821,8.573,6.692
F,180.574,147.186,90.71
F,3.582,4.781,19.232
M,1.417,3.756,3.664
F,3.113,3.922,4.847
F,1.492,4.238,4.83
F,8.529,8.182,7.497
M,1.745,6.454,5.79
M,12.993,13.045,9.429
M,1.15,2.883,3.762
M,27.607,23.578,15.689
F,1.711,2.653,3.105
M,5.992,6.03,5.674
M,1.564,2.845,3.57
M,11.199,10.233,7.697
M,2.261,3.813,3.96
F,1.318,2.353,3.635
M,5.218,7.49,6.437
M,24.861,21.998,14.726
M,6.347,6.299,5.541
F,2.811,3.857,3.755
M,3.163,4.038,4.085
F,4.137,5.059,7.792
F,1.204,5.974,5.597
M,2.647,4.615,4.569
M,2.049,3.3,4.036
F,1.147,2.403,3.025
F,1.554,3.025,3.261
F,4.716,5.603,6.689
M,1.27,2.306,3.224
M,37.576,32.488,22.192
M,1.322,4.038,4.969
F,1.163,3.804,4.966
M,3.978,4.603,4.54
M,1.437,2.443,2.98
M,1.689,3.123,4.74
M,1.125,2.422,2.944
M,1.576,2.533,3.093
M,8.686,8.231,8.191
M,1.338,3.737,3.97
M,18.503,17.107,13.209
M,3.028,3.893,3.766
F,5.386,6.004,7.2
F,2.291,4.299,4.322
F,1.053,2.063,3.184
M,1.265,2.289,3.124
F,4.724,7.583,5.957
F,1.374,29.858,19.364
M,3.603,4.214,3.939
F,44.722,37.179,29.392
M,2.754,3.681,3.903
F,1.108,3.696,3.988
M,1.151,2.561,3.134
F,153.743,136.847,84.033
F,2.336,3.817,4.033
M,1.136,2.753,3.195
F,1.207,2.361,6.059
F,2.538,4.201,4.445
F,2.375,7.314,6.143
F,1.258,3.985,4.46
M,1.056,2.069,2.823
M,1.762,2.682,3.066
M,1.13,2.365,3.79
M,8.085,7.869,6.511
M,1.404,2.533,3.497
F,2.678,17.311,11.978
M,1.406,3.484,3.564
F,1.318,10.346,9.335
F,1.157,2.821,3.502
F,1.478,3.095,4.225
M,3.25,5.378,5.317
F,11.981,12.952,9.717
F,3.517,6.73,5.674
M,1.101,2.142,3.094
F,4.013,5.8,6.579
M,1.11,2.992,3.681
F,4.063,7.579,6.518
F,1.982,7.021,6.094
F,1.928,4.882,4.773
M,73.021,60.488,37.762
F,5.984,7.77,7.153
F,6.74,8.099,7.587
F,1.626,2.613,4.604
M,1.169,2.232,3.407
F,1.859,2.88,3.723
F,1.277,18.561,17.294
F,5.129,5.55,4.89
M,1.132,4.587,5.107
M,2.725,3.56,3.546
F,1.526,3.277,3.514
M,1.659,2.831,4.086
F,4.559,4.978,4.929
M,7.982,7.654,6.383
M,2.396,4.121,3.912
M,2.495,3.262,4.561
M,1.804,2.807,3.596
M,1.643,2.583,3.343
M,3.115,5.066,6.573
M,1.262,2.914,3.357
F,1.089,2.084,5.638
F,2.75,3.423,4.254
F,2.627,6.761,6.327
F,3.399,7.124,6.3
F,5.684,18.721,14.692
M,2.801,3.506,3.967
M,1.051,2.262,2.907
M,1.411,2.834,3.761
F,1.238,2.304,3.032
F,1.237,2.292,3.026
M,2.196,3.767,3.949
M,2.597,3.334,3.5
M,5.589,5.706,5.373
M,1.134,3.853,4.406
M,2.126,4.093,4.956
F,1.239,2.309,3.201
F,1.632,3.269,3.621
F,3.576,4.067,4.037
M,2.014,2.901,3.637
M,4359.265,3490.905,2096.619
M,5.472,6.399,5.581
F,1.388,4.985,4.412
F,2.415,3.972,3.789
M,2.226,3.133,3.282
F,8.472,8.209,6.531
F,1.348,2.38,3.029
M,1.054,2.063,3.15
F,9.058,8.819,6.86
F,1.676,2.719,3.086
F,8.791,12.273,10.05
F,1.441,2.431,3.377
M,2.287,3.4,3.726
F,1.86,15.936,11.139
M,2.137,3.057,3.378
F,5.35,6.008,6.189
F,1.56,33.963,22.201
F,1.322,2.306,3.357
F,1.161,2.372,7.615
M,1.51,3.04,4.911
F,2.881,4.65,6.247
M,2.542,3.287,3.747
M,2.078,3.399,3.663
F,3.536,6.732,11.84
F,1.575,17.363,12.16
M,1.903,2.723,3.292
F,1.028,2.429,3.203
M,1.422,3.018,3.532
M,1.121,3.253,3.486
M,5.314,5.478,5.895
M,24.371,20.771,15.429
F,2.489,5.642,6.746
F,2.106,13.506,15.518
F,5.468,16.136,27.954
F,7.117,7.025,5.885
F,1.65,7.007,5.699
M,1.525,2.964,3.659
F,5.035,5.446,4.707
M,1.056,2.561,3.194
M,2.826,4.102,4.432
M,2.54,3.918,4.096
M,1.025,2.529,3.027
F,45.036,38.32,24.561
M,8.676,11.172,8.509
F,1.849,5.053,4.576
M,1.061,4.55,4.172
F,4.66,11.305,8.61
M,2.018,3.047,3.379
F,1.653,5.537,5.134
F,1.006,2.361,4.136
F,2.12,4.632,4.226
M,1.238,2.603,3.234
M,2.387,4.813,4.467
F,1.811,2.896,3.361
F,9.643,8.945,9.467
F,1.174,2.572,7.181
F,1.382,22.837,15.407
F,3.145,12.516,9.861
F,6.294,6.506,5.329
F,2.34,3.095,3.464
F,1.428,2.489,13.134
F,1.044,3.485,3.856
M,3.63,7.224,6.208
F,2.436,3.937,4.322
M,4.459,5.032,7.517
M,1.105,2.18,3.107
F,2.733,5.172,5.092
F,1.148,4.021,3.996
F,1.646,2.832,5.135
F,33.843,28.29,18.954
M,1.964,3.075,3.423
F,2.346,6.458,6.186
M,1.794,5.366,5.145
M,1.02,2.741,3.095
M,4.818,5.129,4.648
F,3.88,9.637,12.563
M,16.71,14.962,10.421
F,1.111,2.462,4.349
M,1.327,2.371,2.88
M,2.531,3.647,3.595
M,1.244,2.963,5.071
M,2.117,3.893,3.94
F,1.006,554.79,334.769
M,3.563,4.119,4.799
F,2.069,3.76,3.87
F,1.268,2.262,3.156
F,1.321,2.874,4.08
F,1.988,2.923,11.757
M,1.682,3.379,3.545
F,5.022,6.19,6.681
M,1.177,2.243,3.286
F,1.023,5.345,4.722
F,2.412,3.963,3.809
F,2.165,3.186,3.496
M,1.541,2.798,4.142
F,2.473,3.418,4.354
F,1.09,31.894,21.267
M,1.073,4.029,4.007
F,3.41,4.419,5.169
M,2.457,3.738,3.666
M,1.132,2.478,3.67
M,11.408,10.964,9.098
M,1.022,2.471,2.968
F,9.939,12.842,9.723
M,3.742,4.299,4.661
M,1.684,2.552,3.005
M,1.473,2.685,3.185
F,1.874,4.845,7.786
M,9.849,9.203,7.412
F,1.646,4.309,4.29
F,1.5,194.546,118.179
F,2.26,3.271,4.495
F,17.163,15.082,13.492
M,2.142,4.094,7.749
F,2.556,3.892,3.774
F,1.633,2.665,4.008
F,1.288,53.707,34.039
M,1.474,2.607,3.087
M,1.94,6.135,6.026
M,1.845,2.735,3.101
F,1.869,2.742,3.525
M,1.305,3.016,3.654
M,1.234,2.237,3.665
M,1.244,2.336,3.156
F,1.734,2.865,3.183
F,1.002,2.233,9.701
F,5.053,6.095,9.238
M,1.049,2.1,2.936
F,1.153,3.148,3.371
F,1.703,5.015,4.72
F,1.33,2.41,5.097
M,3.82,4.418,5.118
M,1.294,3.036,3.451
F,2.175,4.629,5.921
F,16.15,15.802,12.651
M,5.033,5.293,4.644
M,1.344,3.435,3.751
F,3.654,4.511,4.157
F,1.104,2.424,4.836
F,1.375,3.152,3.537
F,2.625,3.918,4.067
F,1.784,3.073,7.526
F,1.103,3.13,3.677
M,1.917,3.603,4.131
F,1.426,6.382,5.363
M,1.586,3.146,4.044
F,1.596,3.204,5.034
M,1.326,2.656,3.432
M,2.307,4.299,4.602
F,1.228,2.577,3.491
F,2.521,6.564,5.812
F,17.836,15.595,10.852
F,4.794,5.873,7.435
F,5.442,5.623,5.552
M,1.368,3.434,3.607
F,1.005,2.023,5.216
F,1.184,5.635,4.968
M,2.777,3.738,4.678
M,2.86,3.542,3.59
M,2.466,3.36,3.556
F,3.255,4.112,4.809
M,1.135,2.953,3.3
M,1.182,2.372,3.038
F,4.213,7.282,6.254
M,1.293,2.387,2.844
F,4.416,6.72,5.978
M,1.469,2.562,3.158
F,1.546,2.73,3.122
F,1.353,8.361,12.981
F,1.572,2.722,8.294
F,1.718,5.42,10.589
M,1.807,3.224,4.209
M,30.616,25.775,17.029
F,1.496,16.24,13.207
F,1.773,3.238,4.533
F,1.224,2.214,3.539
F,3.433,5.629,5.409
F,1.507,386.235,233.939
M,2.698,3.739,4.036
F,2.548,16.889,16.269
M,11.864,10.804,8.347
M,3.221,4.494,4.605
F,1.1,3.295,4.658
M,3.153,4.099,5.524
F,1.244,2.824,3.131
M,23.05,20.205,14.177
M,9.951,9.164,8.628
M,2.897,3.627,8.135
F,1.806,3.116,3.318
M,1.478,2.571,3.812
F,26.472,22.644,15.499
F,1.636,2.688,3.267
M,2.671,3.59,4.512
F,1.156,3.031,3.26
F,1.158,3.302,3.709
F,1.5,2.557,7.992
M,1.379,2.409,5.172
F,2.069,3.575,4.059
M,3.504,4.672,5.54
M,2.364,3.169,5.674
F,3.173,18.752,13.354
F,10.849,10.275,8.74
M,1.801,2.649,4.381
M,1.288,2.312,2.979
M,1.051,2.403,2.964
F,14.456,13.968,13.099
M,1.366,2.31,3.763
M,11.568,11.639,8.409
M,2.135,3.011,4.182
F,522.601,425.147,257.373
F,1.79,6.505,5.644
F,2.481,3.959,4.301
F,9.324,11.273,9.209
M,1.521,2.855,3.559
M,1.338,4.482,5.148
F,1.32,36.346,28.949
F,4.159,13.578,9.57
M,1.775,3.143,5.858
M,1.08,2.192,3.132
F,1.597,2.865,3.473
F,14.591,15.879,14.212
M,2.082,2.999,4.64
F,1.174,3.035,3.504
M,2.665,3.448,3.484
F,7.533,11.513,10.505
M,9.636,9.83,10.515
F,1.058,2.953,4.639
F,1.035,4.428,11.729
F,1.409,2.586,4.246
F,1.19,6.597,5.447
F,2.128,3.033,3.355
M,1.121,2.49,3.102
M,24.632,21.958,15.336
M,1.219,2.929,3.357
F,6.303,7.246,6.785
M,2.554,4.897,4.51
M,4.22,4.995,4.728
M,1.216,2.353,3.704
F,1.927,4.448,4.597
M,4.449,4.846,5.435
M,1.163,2.208,2.756
F,1.599,2.519,3.533
M,2.616,3.321,3.396
F,1.044,2.136,3.485
F,2.15,7.084,5.759
F,5.187,7.474,7.173
M,1.342,3.136,3.611
M,1.405,3.939,4.396
F,1.076,2.785,3.891
M,2.708,3.619,3.83
M,2.322,4.055,3.859
F,1.414,5.494,7.759
F,3.151,3.725,5.909
M,1.258,2.233,3.336
F,1.708,14.047,9.982
F,3.757,29.236,19.091
F,1.293,16.347,11.63
M,3.85,4.84,4.978
M,2.307,3.555,3.707
F,3.465,62.565,48.727
F,26.794,22.75,15.158
F,1.739,7.92,6.722
F,3.759,22.067,17.417
M,8.818,8.583,6.669
F,1.501,3.841,4.163
M,3.624,4.376,4.032
F,1.586,2.956,3.34
M,3.321,5.102,4.684
M,2.068,2.872,3.982
F,1.079,16.45,11.885
F,1.591,5.09,4.655
M,1.122,2.414,2.908
F,1.005,3.45,4.447
M,1.083,2.256,3.546
M,3.311,3.909,4.015
F,1.089,3.512,3.8
M,20.433,18.326,13.088
M,1.913,2.749,3.406
M,1.564,3.178,4.582
M,7.797,7.441,6.747
F,2.367,3.69,4.221
M,3.111,3.743,4.004
F,8.515,8.788,7.563
M,1.997,3.316,3.946
F,1.008,11.249,9.666
F,1.252,3.873,3.888
F,47.854,39.614,25.205
F,5.213,6.862,7.709
M,1.473,2.439,3.39
F,1.055,2.25,3.756
F,1.233,3.218,4.572
F,22.559,31.179,22.509
M,1.061,2.145,2.871
F,1.334,1530.352,919.891
F,2.509,3.637,4.292
F,7.584,7.286,6.005
M,1.016,2.616,3.433
F,2.259,33.774,21.735
F,2.316,3.242,4.049
M,1.196,2.185,3.111
F,2.246,4.892,4.658
M,2.276,3.872,4.183
M,1.517,2.78,3.18
F,5.457,8.766,6.985
M,25.815,22.002,14.785
F,1.584,5.709,5.504
F,3.637,5.083,4.95
F,1.81,5.069,4.726
F,1.089,3.995,4.494
F,7.953,14.674,10.931
M,30.523,25.792,17.16
M,2.456,4.228,5.182
M,5.437,7.451,6.537
F,1.083,9.989,7.492
M,8.343,8.159,6.44
F,1.581,4.01,3.86
F,1.24,6.474,6.398
F,18.066,15.653,11.008
F,29.774,26.172,17.429
F,1.079,15.205,10.655
M,40.484,33.919,21.993
F,1.289,5.667,4.923
M,2.083,3.54,3.63
M,1.12,3.645,4.506
F,1.226,5.372,4.697
M,1.226,2.866,3.53
M,1.369,3.019,3.918
M,1.087,2.119,2.805
F,1.362,2.699,17.199
M,1.226,2.571,3.663
F,2.496,43.298,27.889
F,3.015,3.871,4.748
M,12.462,11.32,8.708
M,1.728,2.93,4.145
M,2.123,2.901,3.864
M,7.272,7.606,5.973
M,3.874,4.338,4.022
M,7.726,7.484,6.822
F,3.314,5.488,8.128
M,22.054,19.289,13.229
M,1.707,2.978,4.523
F,3.105,9.816,10.083
M,1.167,3.214,3.789
F,2.026,3.397,7.322
F,3.664,38.376,24.961
F,1.15,3.772,3.852
M,2.005,3.188,3.831
M,9.694,8.966,7.334
F,209.114,168.703,102.797
M,4.748,6.938,12.871
M,1.103,3.822,4.293
