G,U,X,Y
F,-1.94,-0.209,3.264
F,0.739,3.899,4.419
M,1.395,4.609,6.632
F,-0.814,-0.438,4.251
M,-0.819,1.148,6.522
M,-0.103,5.391,3.146
M,1.239,3.726,6.821
M,0.364,5.077,8.617
F,-1.167,1.226,5.213
M,-0.504,3.644,5.345
M,0.111,3.508,6.429
M,-1.535,0.605,2.932
F,-0.584,3.192,3.546
M,-0.802,2.364,5.876
F,-0.192,2.418,5.716
F,-0.345,0.241,4.917
F,0.387,-0.178,3.185
F,-1.226,0.989,1.841
M,0.588,1.884,5.31
F,0.236,-0.084,1.734
F,0.923,0.693,3.937
F,-2.508,1.2,1.856
M,0.412,4.393,7.949
M,0.617,3.222,6.224
M,0.393,4.519,6.422
F,0.735,1.638,4.744
M,-0.103,3.585,6.553
M,0.547,3.974,8.811
M,-0.851,4.494,8.563
F,0.424,1.94,5.64
F,1.776,3.2,4.353
F,0.05,3.364,3.702
M,0.004,3.794,5.362
F,-1.101,2.151,3.551
F,-0.07,2.678,3.097
F,0.05,0.402,2.154
M,0.991,5.683,7.872
M,-2.132,2.419,7.228
F,0.019,0.626,3.058
F,-1.287,-1.361,2.235
M,0.565,2.195,7.396
M,0.577,4.194,7.909
F,0.658,2.272,3.185
F,1.472,2.879,2.962
F,0.013,5.428,6.104
F,0.789,3.487,6.586
F,0.526,3.094,6.17
F,0.728,0.85,3.096
M,0.92,4.503,7.722
F,0.437,0.367,2.14
M,0.127,1.111,4.491
F,-2.437,1.022,3.138
M,0.214,5.029,4.636
M,0.656,3.845,5.51
F,0.124,1.811,1.467
F,-0.651,2.66,3.135
F,0.785,1.083,4.044
F,0.844,0.313,2.525
F,-2.629,0.167,2.897
M,0.086,1.463,6.512
F,-0.89,2.466,3.079
F,-0.607,2.507,5.247
M,0.574,3.728,5.075
M,1.133,4.017,7.392
M,-0.499,1.095,5.352
F,-0.648,-0.354,3.391
M,-0.578,2.722,6.555
M,0.042,2.33,5.504
F,0.488,0.338,3.255
M,-0.979,3.662,6.655
F,0.123,0.577,3.887
M,-0.832,2.311,6.299
F,-0.432,0.324,3.086
F,1.251,0.59,1.915
F,-1.625,-0.236,3.625
F,0.326,1.243,3.477
M,0.789,3.704,11.072
M,0.248,5.241,7.274
F,-0.513,0.127,4.062
F,-1.512,1.769,4.014
F,-1.609,-0.318,3.416
F,0.577,0.096,3.005
F,0.573,2.678,5.03
M,0.469,4.376,5.6
F,-0.103,0.544,5.766
M,-1.631,1.408,6.133
M,1.038,4.206,6.713
F,0.318,2.646,5.602
M,1.651,5.132,6.806
F,-1.402,1.498,2.501
M,-1.607,2.996,3.141
M,-0.999,0.9,4.454
M,-2.011,2.172,6.265
F,2.423,3.931,3.812
M,-1.471,2.395,6.671
F,1.044,1.893,4.392
F,-0.682,0.493,5.142
M,0.534,2.781,5.864
F,-0.216,3.082,4.274
F,0.494,1.544,2.477
F,-0.092,0.656,0.643
M,-0.036,4.196,6.692
F,1.703,1.516,6.164
M,-0.581,4.421,5.202
M,0.282,3.508,5.696
F,0.47,1.012,4.761
F,-0.705,2.444,3.784
M,0.47,4.009,6.054
M,0.418,2.88,6.621
M,-1.092,3.014,6.364
F,-1.145,-0.895,0.768
M,0.109,5.229,5.59
M,-1.018,4.23,6.576
M,-0.074,3.219,7.352
F,0.821,1.785,3.407
F,0.278,1.28,3.079
F,-1.243,0.438,4.02
F,-0.862,1.239,2.831
M,0.921,3.141,7.095
M,-0.388,3.453,5.905
F,0.048,0.603,3.653
F,-0.869,-1.271,2.371
M,-0.127,3.113,7.179
M,0.491,3.941,7.624
F,0.059,2.855,6.0
F,-0.253,0.314,3.853
M,-1.905,1.882,3.941
F,-0.026,3.866,7.467
M,-0.546,2.675,5.355
F,-0.035,2.496,2.772
M,1.527,5.883,5.746
F,-0.102,1.631,3.018
F,0.749,1.762,3.554
F,-1.519,-0.448,4.794
F,-1.016,1.299,0.411
F,0.623,0.751,4.515
M,0.464,3.735,7.353
M,-0.899,4.741,3.587
M,0.419,2.939,4.799
F,-0.205,0.625,3.311
M,0.025,3.737,4.661
M,1.29,5.539,8.366
M,0.631,4.335,6.913
F,0.345,2.269,2.552
M,-0.559,1.585,1.791
M,-0.256,1.124,3.503
F,-0.99,-0.29,0.628
M,-0.527,3.26,7.127
F,0.298,2.372,1.582
F,0.085,1.049,1.731
F,1.469,2.041,4.364
M,-1.307,3.734,7.703
M,-0.699,2.611,4.872
F,0.344,-0.316,0.925
M,-0.272,4.802,3.481
M,-0.57,1.699,3.844
F,0.017,1.216,2.325
F,1.098,1.232,3.383
M,0.119,4.117,4.544
F,0.98,0.387,3.552
F,1.888,2.84,5.507
F,0.867,0.745,2.958
M,-0.916,2.229,4.639
M,0.404,6.621,6.901
F,0.004,0.136,4.672
F,-2.345,-2.488,0.53
F,-1.07,-1.389,1.583
F,-1.685,1.3,4.515
M,0.567,2.809,6.284
F,-0.026,0.027,4.449
M,0.036,3.308,4.282
F,-0.058,0.104,3.328
M,1.089,3.464,5.861
M,0.5,3.688,6.225
F,0.522,1.532,5.599
F,0.491,1.803,3.619
M,-0.465,3.167,8.858
F,1.261,0.599,2.894
M,0.391,5.036,9.519
M,2.044,7.695,6.577
F,2.362,2.119,4.653
M,-1.121,2.395,6.405
M,-0.513,2.035,1.736
M,-0.989,3.387,6.677
M,-0.519,1.067,4.204
F,-0.226,3.005,4.547
M,-0.125,3.856,7.217
F,0.088,3.596,5.536
M,0.037,2.739,4.546
F,-0.349,-0.118,1.576
F,1.185,4.519,6.406
F,-0.297,1.273,3.561
F,0.821,0.319,2.222
M,0.168,4.761,5.2
F,-0.963,0.168,1.91
F,0.298,2.1,2.611
F,-1.676,0.613,4.394
M,-0.179,3.872,7.035
F,-1.255,0.258,5.096
F,0.785,1.556,4.693
F,-0.077,2.755,6.337
M,0.386,4.504,5.136
F,-0.775,1.928,4.044
F,-0.123,0.767,5.663
M,0.776,4.445,8.479
F,1.382,1.143,5.239
M,-1.01,2.23,5.431
M,-0.725,3.061,4.642
F,-0.206,2.024,3.099
M,0.052,3.596,5.288
F,0.185,2.386,0.357
F,-0.589,-1.095,2.181
F,-1.881,-0.761,-2.609
F,-0.863,-0.421,2.913
F,-0.636,1.432,1.065
M,-1.173,4.059,6.144
